TABLE_NAME,TPA,COLUMN_NAME,DATA_TYPE,NULLABLE,DEFAULT_VALUE,DESCRIPTION
MEDICAL_CLAIMS,provider_a,CLAIM_ID,VARCHAR(100),N,,Unique claim identifier
MEDICAL_CLAIMS,provider_a,MEMBER_ID,VARCHAR(100),N,,Member identifier
MEDICAL_CLAIMS,provider_a,PROVIDER_ID,VARCHAR(100),Y,,Provider identifier
MEDICAL_CLAIMS,provider_a,PROVIDER_NAME,VARCHAR(500),Y,,Provider name
MEDICAL_CLAIMS,provider_a,SERVICE_DATE,DATE,N,,Date of service
MEDICAL_CLAIMS,provider_a,DIAGNOSIS_CODE,VARCHAR(50),Y,,Primary diagnosis code
MEDICAL_CLAIMS,provider_a,PROCEDURE_CODE,VARCHAR(50),Y,,Procedure code
MEDICAL_CLAIMS,provider_a,BILLED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount billed
MEDICAL_CLAIMS,provider_a,ALLOWED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount allowed
MEDICAL_CLAIMS,provider_a,PAID_AMOUNT,"NUMBER(18,2)",N,0.00,Amount paid
MEDICAL_CLAIMS,provider_a,MEMBER_RESPONSIBILITY,"NUMBER(18,2)",Y,0.00,Member cost share
MEDICAL_CLAIMS,provider_a,CLAIM_STATUS,VARCHAR(50),Y,PENDING,Claim status
MEDICAL_CLAIMS,provider_a,PROCESSED_DATE,TIMESTAMP_NTZ,Y,,Date processed
MEDICAL_CLAIMS,provider_a,CREATED_AT,TIMESTAMP_NTZ,N,CURRENT_TIMESTAMP(),Record creation timestamp
DENTAL_CLAIMS,provider_a,CLAIM_ID,VARCHAR(100),N,,Unique claim identifier
DENTAL_CLAIMS,provider_a,MEMBER_ID,VARCHAR(100),N,,Member identifier
DENTAL_CLAIMS,provider_a,DENTIST_ID,VARCHAR(100),Y,,Dentist identifier
DENTAL_CLAIMS,provider_a,DENTIST_NAME,VARCHAR(500),Y,,Dentist name
DENTAL_CLAIMS,provider_a,SERVICE_DATE,DATE,N,,Date of service
DENTAL_CLAIMS,provider_a,TOOTH_NUMBER,VARCHAR(10),Y,,Tooth number
DENTAL_CLAIMS,provider_a,PROCEDURE_CODE,VARCHAR(50),Y,,Dental procedure code
DENTAL_CLAIMS,provider_a,SURFACE,VARCHAR(20),Y,,Tooth surface
DENTAL_CLAIMS,provider_a,BILLED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount billed
DENTAL_CLAIMS,provider_a,ALLOWED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount allowed
DENTAL_CLAIMS,provider_a,PAID_AMOUNT,"NUMBER(18,2)",N,0.00,Amount paid
DENTAL_CLAIMS,provider_a,MEMBER_RESPONSIBILITY,"NUMBER(18,2)",Y,0.00,Member cost share
DENTAL_CLAIMS,provider_a,CLAIM_STATUS,VARCHAR(50),Y,PENDING,Claim status
DENTAL_CLAIMS,provider_a,CREATED_AT,TIMESTAMP_NTZ,N,CURRENT_TIMESTAMP(),Record creation timestamp
PHARMACY_CLAIMS,provider_a,CLAIM_ID,VARCHAR(100),N,,Unique claim identifier
PHARMACY_CLAIMS,provider_a,MEMBER_ID,VARCHAR(100),N,,Member identifier
PHARMACY_CLAIMS,provider_a,PHARMACY_ID,VARCHAR(100),Y,,Pharmacy identifier
PHARMACY_CLAIMS,provider_a,PHARMACY_NAME,VARCHAR(500),Y,,Pharmacy name
PHARMACY_CLAIMS,provider_a,FILL_DATE,DATE,N,,Prescription fill date
PHARMACY_CLAIMS,provider_a,NDC_CODE,VARCHAR(50),N,,National Drug Code
PHARMACY_CLAIMS,provider_a,DRUG_NAME,VARCHAR(500),Y,,Drug name
PHARMACY_CLAIMS,provider_a,QUANTITY,"NUMBER(18,2)",N,,Quantity dispensed
PHARMACY_CLAIMS,provider_a,DAYS_SUPPLY,"NUMBER(10,0)",Y,,Days supply
PHARMACY_CLAIMS,provider_a,PRESCRIBER_ID,VARCHAR(100),Y,,Prescriber identifier
PHARMACY_CLAIMS,provider_a,BILLED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount billed
PHARMACY_CLAIMS,provider_a,ALLOWED_AMOUNT,"NUMBER(18,2)",N,0.00,Amount allowed
PHARMACY_CLAIMS,provider_a,PAID_AMOUNT,"NUMBER(18,2)",N,0.00,Amount paid
PHARMACY_CLAIMS,provider_a,MEMBER_COPAY,"NUMBER(18,2)",Y,0.00,Member copay
